"","Orden","Familia","Genero","Especie","sciname","NombreComun","Region","RecursoDeportivo","RecursoPesquero","RecursoOrnamental","NOM-059","PeligroCritico","EnPeligro","Vulnerable","CasiAmenazada","PreocupacionMenor","ListadaDatosDeficientes","NoEvaluada","CartaNacionalPesquera","Exoticos","Endemicos","Herbivoros","NivelTrofico","a.x","b.x","a.y","b.y","NT"
"59","Perciformes","Scaridae","Sparisoma","viride","Sparisoma viride","Loro lunar","SAM","","","","NO","","","","","x","","","NINGUNO","","","x","2","0.01349","3.04",0.03035,2.92175,NA
"60","Perciformes","Scaridae","Sparisoma","aurofrenatum","Sparisoma aurofrenatum","Loro aleta roja","SAM","","","","NO","","","","","x","","","NINGUNO","","","x","2","0.01072","3.12",0.01442,3.13475,2.02
"61","Perciformes","Sphyraenidae","Sphyraena","barracuda","Sphyraena barracuda","Barracuda","SAM","","x","","NO","","","","","x","","","Huachinango y pargo (Especies asociada)","","","","4.5","0.00851","2.92",0.0134781818181818,2.96644090909091,4.49
"62","Perciformes","Labridae","Thalassoma","bifasciatum","Thalassoma bifasciatum","Vieja cabeza azul","SAM","","","","NO","","","","","x","","","NINGUNO","","","","3.3","0.00891","3.01",0.0109,2.978,3.3
"63","Perciformes","Serranidae","Epinephelus","itajara","Epinephelus itajara","Cherna","SAM","","x","","NO","x","","","","","","","Mero, negrillo o abadejo (Especie objetivo); Sierra y peto,  Bandera y bagres (Especie asociada)","","","","4.1","0.01072","3.04",0.0131,3.056,4.09
"64","Perciformes","Haemulidae","Anisotremus ","davidsonii","Anisotremus davidsonii","Sargo rayado","PBC","x","x","","NO","","","","","x","","","NINGUNO","","","","3.5","ND","ND",0.0188,3,NA
"65","Perciformes","Haemulidae","Anisotremus ","davidsonii","Anisotremus davidsonii","Sargo rayado","PBC","x","x","","NO","","","","","x","","","NINGUNO","","","","3.5","ND","ND",0.0188,3,NA
"66","Perciformes","Malacanthidae","Caulolatilus","princeps","Caulolatilus princeps","Pez blanco","PBC","","x","","NO","","","","","x","","","Rocotes (Especies asociadas)","","","","3.9","ND","ND",0.0239,3,NA
"67","Perciformes","Malacanthidae","Caulolatilus","princeps","Caulolatilus princeps","Pez blanco","PBC","","x","","NO","","","","","x","","","Rocotes (Especies asociadas)","","","","3.9","ND","ND",0.0239,3,NA
"68","Perciformes","Pomacentridae","Chromis","punctipinnis","Chromis punctipinnis","Castañeta herrera","PBC","","","","NO","","","","","x","","","NINGUNO","","","","2.7","0.01514","2.99",NA,NA,NA
"69","Perciformes","Embiotocidae","Embiotoca","jacksoni","Embiotoca jacksoni","Mojarra negra","PBC","","","","NO","","","","","","","x","NINGUNO","","","","3.3","0.02818","3.03",0.0616,2.8636,NA
"70","Perciformes","Kyphosidae","Girella","nigricans","Girella nigricans","Chopa verde","PBC","","x","","NO","","","","","x","","","NINGUNO","","","x","2","0.01585","3.03",NA,NA,NA
