Orden ;Familia;Genero;Especie;Genero + Especie;Nombre Común ;Región;Recurso Deportivo;Recurso Pesquero;Recurso Ornamental;NOM-059;Peligro crítico;En Peligro;Vulnerable;Casi Amenazada;Preocupación menor;Listada. Datos deficientes;No Evaluada;Carta Nacional Pesquera (Grupo);Exóticos;Endémicos;Herbívoros ;Nivel Trofico;a;b
Perciformes;Gobiidae;Tigrigobius;limbaughi;Tigrigobius limbaughi;Gobio insólito;GdC;;;;NO;;;;;;;x;NINGUNO;;;;3.1;0.00832;3.2
Perciformes;Gobiidae;Elacatinus ;puncticulatus;Elacatinus puncticulatus;Gobio;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.5;0.00661;3.12
Perciformes;Carangidae;Elagatis ;bipinnulata;Elagatis bipinnulata;Macarela salmón;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;4.3;0.01072;2.89
Perciformes;Serranidae;Epinephelus;analogus;Epinephelus analogus;Cabrilla pinta / Cabrilla pinto;GdC;;x;;NO;;;;;x;;;"Jaiba (Especie Asociada); Huachinango y pargos (Especie Asociada);Robalos (Centropomidae)";;;;3.8;ND;ND
Perciformes;Serranidae;Epinephelus;labriformis;Epinephelus labriformis;Cabrilla piedreda;GdC;;x;;NO;;;;;x;;;Huachinango y pargos (Especie Asociada);;;;4;0.01585;3.05
Syngnathiformes;Fistulariidae;Fistularia;commersonii;Fistularia commersonii;Pez corneta;GdC;;;x;NO;;;;;;;x;NINGUNO;;;;4.3;0.00282;2.91
Perciformes;Chaetodontidae;Forcipiger;flavissimus;Forcipiger flavissimus;Mariposa hocicona;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;3.1;ND;ND
Perciformes;Kyphosidae;Girella;simplicidens;Girella simplicidens;Chopa café / Chopa ojo azul;GdC;;x;;NO;;;;;x;;;NINGUNO;;;x;2.8;0.01549;3.03
Anguilliformes;Muraenidae;Gymnothorax;castaneus;Gymnothorax castaneus;Morena prieta o verde;GdC;;x;x;NO;;;;;x;;;NINGUNO;;;;4;0.00093;3.1
Anguilliformes;Muraenidae;Gymnothorax;dovii;Gymnothorax dovii;Morena;GdC;;;x;NO;;;;;x;;;NINGUNO;;;;4.3;0.00093;3.1
Anguilliformes;Muraenidae;Gymnomuraena;zebra;Gymnomuraena zebra;Morena zebra;GdC;;;x;NO;;;;;;;x;NINGUNO;;;;3.4;0.0112;3.07
Perciformes;Haemulidae;Haemulon;flaviguttatum;Haemulon flaviguttatum;Rayadillo aleta amarilla / Burro / Ronco de rabo manchado;GdC;;x;;NO;;;;;x;;;Huachinango y pargos (Especie Asociada);;;;4.2;ND;ND
Perciformes;Haemulidae;Haemulon;maculicauda;Haemulon maculicauda;Rayadillo / Burro roncador rayado;GdC;;x;;NO;;;;;x;;;"Huachinango y pargos (Especie Asociada); Robalo (Centropomidae)(Especie Asociada)";;;;4.2;0.01349;3.04
Perciformes;Haemulidae;Haemulon ; scudderii;Haemulon scudderii;Burro pecoso/ Ronco prieto;GdC;;;;NO;;;;;x;;;NINGUNO;;;;4.2;0.01479;3.03
